J0018.4+2947 4.6030 29.7940 0.0509 0.0458 67.880 4.958 4720.12 1.0420E-14 2.1357E-10 2.5231E-12 0.09 1.8645 5.135531E-11 1.250718E-14 0.000 8.410714E-10 5.867952E-13 2.464 7.318317E-11 1.782318E-13 1.367 5.233741E-11 3.651454E-13 3.582 3.689049E-11 6.944337E-13 4.187 5.630098E+01 bll
J0018.9-8152 4.7454 -81.8769 0.0360 0.0303 -10.700 10.650 2187.52 1.3929E-13 6.5297E-10 7.2552E-12 0.31 2.0754 9.456801E-09 2.255639E-12 3.206 1.945385E-09 1.323825E-12 4.257 4.000200E-10 9.541288E-13 4.752 1.268905E-10 8.634837E-13 5.924 7.248196E-11 1.251446E-12 6.454 8.565231E+01 bll
J0019.1-5645 4.7967 -56.7515 0.0722 0.0615 18.610 6.805 1088.91 3.2454E-13 2.8566E-10 3.7414E-12 0.52 2.3909 9.928406E-09 2.296791E-12 4.117 6.209656E-10 4.074307E-13 1.896 2.168910E-10 5.017455E-13 4.397 5.446915E-11 3.573855E-13 3.424 3.065563E-11 4.694246E-13 3.329 6.285630E+01 bcu
J0019.4+2021 4.8620 20.3664 0.1024 0.0646 82.380 5.036 1529.81 1.4178E-13 2.9451E-10 3.4563E-12 0.57 2.2486 6.715105E-10 1.574859E-13 0.246 1.592347E-09 1.061952E-12 3.902 1.165855E-10 2.734220E-13 1.744 4.872756E-11 3.249688E-13 3.123 1.494087E-11 2.411349E-13 1.934 5.578067E+01 bll
J0020.9+0323 5.2311 3.3953 0.0356 0.0337 -27.350 5.734 6460.08 6.5112E-15 2.0553E-10 2.9727E-12 1.54 1.6399 4.452748E-11 1.108989E-14 0.000 2.606698E-14 1.868115E-17 0.000 1.318729E-10 3.284391E-13 2.279 8.783756E-11 6.294962E-13 4.420 3.117680E-11 6.457208E-13 4.792 5.441463E+01 NULL
J0021.6-6835 5.4090 -68.5917 0.2950 0.1140 46.910 5.370 532.65 1.8591E-12 2.1163E-10 3.8154E-12 0.56 2.6525 7.049129E-09 1.591038E-12 2.406 1.477433E-09 9.414767E-13 4.180 1.869362E-10 4.219283E-13 2.990 2.678574E-11 1.706890E-13 1.701 1.123608E-15 1.574017E-17 0.000 5.185081E+01 bcu
J0021.6-2553 5.4146 -25.8867 0.0354 0.0301 15.360 11.574 1520.31 2.7397E-13 5.9684E-10 6.6446E-12 0.17 2.0993 6.157387E-09 1.465230E-12 2.905 1.244938E-09 8.448097E-13 3.914 4.380623E-10 1.042426E-12 6.902 1.692845E-10 1.148758E-12 7.313 4.213857E-11 7.206725E-13 5.030 7.156792E+01 bll
J0022.1-1855 5.5355 -18.9230 0.0204 0.0190 61.830 16.685 2653.59 1.2761E-13 9.0111E-10 1.1148E-11 2.44 1.7990 2.764987E-11 6.777911E-15 0.000 1.319831E-09 9.280294E-13 4.216 5.960015E-10 1.461000E-12 8.634 3.510381E-10 2.468297E-12 12.818 6.798956E-11 1.315633E-12 7.665 6.786840E+01 bll
J0022.1-5141 5.5479 -51.6910 0.0311 0.0275 -76.400 13.712 1760.34 2.2728E-13 7.0082E-10 7.8538E-12 1.72 1.9874 7.824525E-10 1.882547E-13 0.327 1.503236E-09 1.033598E-12 4.938 6.378905E-10 1.534737E-12 10.222 1.136355E-10 7.813376E-13 5.757 6.775067E-11 1.212105E-12 6.909 5.941103E+01 bll
J0022.5+0608 5.6430 6.1378 0.0236 0.0210 -81.680 28.175 1265.67 1.4337E-12 2.1622E-09 2.4022E-11 2.46 2.0732 1.361795E-08 3.248859E-12 4.283 5.967501E-09 4.061902E-12 13.023 1.578547E-09 3.765967E-12 17.280 5.081263E-10 3.458666E-12 15.292 1.244267E-10 2.150193E-12 8.132 9.520547E+01 bll
J0022.7+4651 5.6872 46.8528 0.1473 0.1156 63.290 4.160 462.10 2.8810E-12 1.8825E-10 4.1564E-12 0.19 2.7843 1.117984E-08 2.493001E-12 3.291 9.337010E-10 5.865473E-13 2.094 2.581889E-10 5.757372E-13 3.353 3.809283E-11 2.392977E-13 1.971 1.567916E-16 2.108349E-18 0.000 3.816224E+01 NULL
J0023.4+0923 5.8646 9.3892 0.0525 0.0485 -86.710 13.328 904.76 2.2665E-12 1.1151E-09 7.2834E-12 5.73 0.9715 3.158387E-09 8.262789E-13 1.316 3.743247E-09 2.718786E-12 8.734 9.629140E-10 2.157380E-12 9.995 5.029029E-11 2.625412E-13 2.764 7.681540E-12 7.117146E-14 0.960 5.137487E+01 PSR
J0023.5+4454 5.8781 44.9055 0.0852 0.0671 -86.650 8.957 620.38 2.4738E-12 4.6261E-10 7.4244E-12 0.26 2.5685 1.538715E-08 3.500274E-12 4.894 2.212870E-09 1.423245E-12 5.027 4.241547E-10 9.648683E-13 5.449 5.420764E-11 3.486458E-13 2.448 1.033848E-11 1.488608E-13 1.633 6.971290E+01 fsrq
J0023.9-7203 5.9819 -72.0652 0.0170 0.0164 -35.590 46.378 856.45 7.1382E-12 4.1487E-09 2.6074E-11 10.37 1.7730 1.094397E-08 2.992280E-12 5.320 9.251480E-09 6.764962E-12 24.070 3.647951E-09 8.556749E-12 34.301 6.278622E-10 3.847110E-12 19.235 1.881571E-11 1.892493E-13 3.274 3.737943E+01 glc
J0024.4+0350 6.1105 3.8429 0.0776 0.0649 32.530 5.714 1194.34 3.3553E-13 3.9243E-10 4.6908E-12 2.76 2.2782 6.425611E-09 1.502657E-12 1.761 1.980518E-09 1.316327E-12 4.437 3.352400E-10 7.839733E-13 4.340 4.969306E-11 3.302789E-13 2.449 1.023966E-11 1.634271E-13 1.600 7.495120E+01 fsrq
J0025.7+6404 6.4326 64.0693 0.0868 0.0599 -56.970 4.405 3518.68 4.4738E-14 5.6477E-10 6.2797E-12 0.88 2.0867 2.106848E-10 5.019687E-14 0.039 3.157319E-09 2.145694E-12 3.149 4.525428E-10 1.078210E-12 2.522 8.309772E-11 5.647267E-13 2.124 5.925629E-11 1.018493E-12 3.834 3.129275E+01 snr
J0026.2-4812 6.5572 -48.2101 0.1085 0.0675 -67.870 6.035 1436.45 1.6956E-13 3.1408E-10 3.5777E-12 0.67 2.1875 1.852742E-09 4.371017E-13 0.813 7.767951E-10 5.217342E-13 2.498 2.887637E-10 6.812557E-13 4.890 6.036902E-11 4.054684E-13 3.284 1.771457E-11 2.926709E-13 2.140 5.154129E+01 NULL
J0026.7-4603 6.6849 -46.0597 0.1017 0.0669 7.030 5.081 1009.75 2.9467E-13 2.0788E-10 2.8931E-12 0.35 2.4503 4.179665E-09 9.614473E-13 1.705 1.094813E-09 7.135184E-13 3.195 1.222492E-10 2.812095E-13 2.684 4.250259E-11 2.770006E-13 2.979 5.915746E-12 8.869470E-14 1.389 5.685426E+01 bll
J0028.6+7507 7.1611 75.1186 0.0561 0.0459 87.780 7.310 1172.94 5.0409E-13 5.4497E-10 6.8294E-12 0.41 2.3415 1.055510E-08 2.453367E-12 3.244 1.890525E-09 1.247434E-12 3.233 4.467431E-10 1.038385E-12 4.142 1.740909E-10 1.148712E-12 6.564 3.371630E-12 5.256495E-14 0.468 3.773591E+01 bcu
